Pool_Name,Pool_Address,Pool_Stage,Strategy_Name,Strategy_Address,Weight
vDAI,0x0701bfE50Ca516140E047Ea53388DD6B8f3DB557,prod,Aave-Strategy-DAI,0x4a4A54e2F8bCAFDbE426f4c45Ec9F9E64f411101,0.95
veDAI-WBTC,0x148a829492bEc827FE9638c690Ee6A71De6f1736,prod,EarnVesperStrategyDAIWBTC,0x40971A53fa57b3D26bF0c98075f81955dE78b61F,0.95
veDAI-WETH,0x1A3a83d1a9a667c61DF54b109ed88da58022f12b,prod,EarnVesperStrategyDAIWETH,0x041550d216B0Eec58D2Cbc34798b26ba2c0f2b37,0.95
vMATIC,0x329846f9e19dAa7fD9844065a62eD01BCf63Cf69,prod,Aave-Strategy-WMATIC,0x2B63A64693fb0ade57ac5C364861c14a56f427bB,0.95
vUSDC,0xF8ea0eE6818C6CF798a1b208139f6b56563F6067,prod,Aave-Strategy-USDC,0x961575De98664eFD828a6AEa0f9cC8A5CD840494,0.95
vUSDT,0xa1Bea64E941f61f84857D77708f7F9D2f23ea964,alpha,Aave-Strategy-USDT,0x0dAD703327d3f117b7355d77dad230A0d44d7D90,0.95
vWBTC,0x36366EA27B777622017d3583060ee64BB49eDbE5,prod,Aave-Strategy-WBTC,0xB79D6c3A7C0740eAe4daDa70B50B35A3640D1eaF,0.95
vWETH,0xD66FDcA0b120427C90C0318a454b37B88a3Aa40F,prod,Aave-Strategy-WETH,0x95d10DD75756671F866a09dc9F61F9286c7e1D7D,0.95
