Pool_Name,Pool_Address,Pool_Stage,Strategy_Name,Strategy_Address,Weight
vaUSDC,0xa8b607Aa09B6A2E306F93e74c282Fb13f6A80452,prod,RariFuse-Strategy,0xA92F21CF2923cd634922d193fC8eEaf05CBefb65,0.2
vaUSDC,0xa8b607Aa09B6A2E306F93e74c282Fb13f6A80452,prod,Convex4MetaPoolStrategyFRAXPool,0x938F7babD1895984D1ba57b8b06EBB5f5060DFB1,0.4994
vaWBTC,0x01e1d41C1159b745298724c5Fd3eAfF3da1C6efD,prod,Curve-sBTC-WBTC-Strategy,0x867FC11B40351451d1dc3114A4204B2444b94B32,0
vaWBTC,0x01e1d41C1159b745298724c5Fd3eAfF3da1C6efD,prod,Curve-Convex-sBTC-Strategy,0x43CeCF2e018FEE7EE94410f85FcefeD2a3843ef2,0
vaWBTC,0x01e1d41C1159b745298724c5Fd3eAfF3da1C6efD,prod,RariFuse-Strategy,0x2962741a2aec7627F64E77a5808A025F49ea17DA,0
vaWBTC,0x01e1d41C1159b745298724c5Fd3eAfF3da1C6efD,prod,Vesper-Maker-Strategy-WBTC,0x1A3a83d1a9a667c61DF54b109ed88da58022f12b,0
vaWBTC,0x01e1d41C1159b745298724c5Fd3eAfF3da1C6efD,prod,Convex4MetaPoolStrategyIBBTCPoolWBTC,0x4837d515320e227167d70992D50f70fACD0A68aE,0
vaWBTC,0x01e1d41C1159b745298724c5Fd3eAfF3da1C6efD,prod,VesperMakerStrategyWBTC,0x70900C53202297Bd7Cd4ED1635486D84E3982484,0.95
vaWBTC,0x01e1d41C1159b745298724c5Fd3eAfF3da1C6efD,prod,CompoundLeverageStrategyWBTC,0xBE699fE81a8a4edb135e47BB5885A51FC58F0C39,0
vDAI,0xB4eDcEFd59750144882170FCc52ffeD40BfD5f7d,alpha,Compound-Strategy-DAI,0x9ce483DBE7C810A7DE7fCB78e61cD13Cec4A0914,0.95
vDAI,0xcA0c34A3F35520B9490C1d58b35A19AB64014D80,prod,Strategy-VesperV3-DAI,0x7E381e9ef102605f65A6c3614C023EBd5Fa1ab78,0
veDAI-DPI,0xe4Fe646A43DAEC8323922cA3e4Fe782d70805d93,prod,Earn-Vesper-Strategy-DAI-DPI,0x612fD30e2d7dd963a1513CBf781eB5dFE8A55Fb8,0.95
veDAI-ETH,0xabfF8F065318a8CF0dE66Bd1E90E976381859Ef0,prod,Earn-Vesper-Strategy-DAI-WETH,0xD9e153F629A55992f5Fc699442e50E386e3336B0,0.95
veDAI-LINK,0x83A99dAFf5f84B278D3150A36385fCDf04a0fecf,prod,EarnVesperStrategyDAILINK,0xA95CcFAf088a3C3a9181915a0af3fb182055bD4a,0.95
veDAI-PUNK,0xeBcF77CCE55ed6091F82aEE3c5539841E4D75F49,beta,EarnVesperStrategyDAIPUNK,0x3E281c4289b69573F0bD01Ab51C18A4f8144046f,0.95
veDAI-SHIB,0x6F8D5FD58F5F825FdBF4f3301c0BDd361653488c,beta,EarnVesperStrategyDAISHIB,0x62514F46A2c55aaE92a56Cd6f90510Dbabe18438,0.95
veDAI-VSP,0x8209f3a03730c035163B4414c1545a3137D5B402,alpha,Earn-Vesper-Strategy-DAI-VSP,0xDc1046DBb73E7BE8C0B2B72A4987522D425bc93C,0.95
veDAI-WBTC,0x35B225880df01cde935Db463D0e70a9e737D516E,prod,Earn-Vesper-Strategy-DAI-WBTC,0x9B11078F5e8345d074498a83C4f9824942F796d3,0.95
veETH-DAI,0xA89566489E932a2d334b9eFF7884Feb21a07d2B3,prod,Earn-Aave-Maker-Strategy-ETH,0x235A6DCe7D40fa5b0157F55Dda0693dcAc4Ea932,0
veETH-DAI,0xA89566489E932a2d334b9eFF7884Feb21a07d2B3,prod,Earn-Compound-Strategy-ETH,0x1E10aad97f2312B0b02424e628397B0ADD536D8b,0
veETH-DAI,0xA89566489E932a2d334b9eFF7884Feb21a07d2B3,prod,Earn-Vesper-Maker-Strategy-ETH,0xDa538530bFF65cDfDb507670E0DAd17E54362C59,0
veETH-DAI,0xA89566489E932a2d334b9eFF7884Feb21a07d2B3,prod,EarnVesperStrategyETHDAI,0x58DDe7CE67099C797f247dfB6f76dDF3235CDEbf,0.95
veLINK-DAI,0x252c805e999115158174dFC997BF5C1342aaDfF2,prod,EarnVesperStrategyLINKDAI,0xa609820289b0E976B43583b292f21B883563e20E,0.95
vETH,0x103cc17C2B1586e5Cd9BaD308690bCd0BBe54D5e,prod,Strategy-Compound-ETH,0xFfc4C270244F9c0890c744F042f5f25F9Ff8D4b5,0
veWBTC-DAI,0x7a74B6D3A07D3249Ea2FBb58e47F0DaF6d6a2ebf,prod,Earn-Vesper-Maker-Strategy-WBTC,0x2740B8b29B229bD690252DBc5590A5c7416e44DC,0
veWBTC-DAI,0x7a74B6D3A07D3249Ea2FBb58e47F0DaF6d6a2ebf,prod,EarnVesperStrategyWBTCDAI,0x1Cd0f3bD73d60D56B487073A0caB2E8a9085CF08,0.95
vfrcDAI,0x0b1E5e449CA0d7D8937d038e298737e023e86Dc5,alpha,Compound-Coverage-Strategy-DAI,0x0f0600C5a32BBFEA0495bAfACA551D7a13565281,0.95
vfrsDAI,0xb4C912714f07FcD078d17479010f705F807bB115,alpha,Compound-Stable-Strategy-DAI,0x0972077897e634305869BAaDC94B76fE449d3fF0,0.95
vLINK,0x0a27E910Aee974D05000e05eab8a4b8Ebd93D40C,prod,Strategy-Compound-LINK,0x801CdDB30e3e4519fa98CF242f85c66b7561F4F5,0
vUNI,0xfF43C327410F960261057ba1DA787eD78B42c257,prod,Compound-Strategy-UNI,0xdb0950c877Db658E17a8120E89b4f2Ffc4Dd6e05,0.95
vUNI,0xfF43C327410F960261057ba1DA787eD78B42c257,prod,Aave-Strategy-UNI,0xed8BA4be8E0422f345156E9071f1B7218f0E36Ba,0
vUNI,0xfF43C327410F960261057ba1DA787eD78B42c257,prod,Compound-Maker-Strategy-UNI,0xA1CcDa3c0b94f3CA7eE44DCc2Bd9e414f7167669,0
vUNI,0xfF43C327410F960261057ba1DA787eD78B42c257,prod,Compound-Leverage-Strategy-UNI,0xdeF359ce2a21f81A5d54eba58894DC00A2781d3a,0.001
vUSDC,0x0C49066C0808Ee8c673553B7cbd99BCC9ABf113d,prod,Strategy-Compound-USDC,0xbF84B97BEABc953a7a2ad630940065b69D24c912,0
vUSDT,0xBA680a906d8f624a5F11fba54D3C672f09F26e47,prod,Compound-Strategy-USDT,0x07E5247687ba0235dC3400736c3B6B7607Bd7D8E,0
vUSDT,0xBA680a906d8f624a5F11fba54D3C672f09F26e47,prod,Aave-Strategy-USDT,0x4c9d61AdB5d8b7B554fa3d1056C65dAAB1158963,0.95
vUSDT,0xBA680a906d8f624a5F11fba54D3C672f09F26e47,prod,Cream-Strategy-USDT,0x8EacbA80Bee37Ed291B084752375C49cD489590b,0
vVSP,0xbA4cFE5741b357FA371b506e5db0774aBFeCf8Fc,prod,Strategy-VSP,0xA5379d69D32555d2a75E0010e09091D990F6A975,0
vWBTC,0x4B2e76EbBc9f2923d83F5FBDe695D8733db1a17B,prod,Strategy-Compound-WBTC,0x456BCf03C84ae67e840C7A0036562D360b6d09c1,0
